sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,product_online,tax_class_name,visibility,price,meta_title,brand,europe_delivery_cost,supplier,uk_delivery_cost,world_delivery_cost,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_oms_product
CN22/250,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/Custom Labels,base,250 x CN22 Customs Labels,A roll of 250 CN22 Customs labels (CN22/250),A roll of 250 CN22 Customs labels (CN22/250),1,Taxable Goods,Catalog Search,0,250 x CN22 Customs Labels,Royal Mail,0,galaxy,0,0,1,0,10,0,1
CN22W/250,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/Custom Labels,base,250 x CN22 Customs Labels - Welsh,A roll of 250 CN22 Customs labels Welsh (CN22W/250),A roll of 250 CN22 Customs labels Welsh (CN22W/250),1,Taxable Goods,Catalog Search,0,250 x CN22 Customs Labels - Welsh,Royal Mail,0,galaxy,0,0,1,0,1,0,1
CN23/50,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/Custom Labels,base,50 x CN23 High Value Customs Labels,A pack of 50 CN23 High Value Customs labels (CN23/50),A pack of 50 CN23 High Value Customs labels (CN23/50),1,Taxable Goods,Catalog Search,0,50 x CN23 High Value Customs Labels,Royal Mail,0,galaxy,0,0,1,0,1,0,1
CN23WELSH,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/Custom Labels,base,50 x CN23 High Value Customs Labels - Welsh,A single CN23 High Value Customs label Welsh (CN23WELSH),A single CN23 High Value Customs label Welsh (CN23WELSH),1,Taxable Goods,Catalog Search,0,50 x CN23 High Value Customs Labels - Welsh,Royal Mail,0,galaxy,0,0,1,0,200,0,1
LN2,Legacy,simple,Default Category/Online Mail Supplies/General Mailing Containers Default Category/Online Mail Supplies/Special Delivery Guaranteed Default Category/Online Mail Supplies/Special Delivery Guaranteed/General Mailing Containers,base,200 x Plastic Mailbag Ties,A pack of 200 black plastic bag ties to secure grey mail bags (LN2),A pack of 200 black plastic bag ties to secure grey mail bags (LN2),1,Taxable Goods,Catalog Search,0,200 x Plastic Mailbag Ties,Royal Mail,0,galaxy,0,0,1,0,10,0,1
MBG,Legacy,simple,Default Category/Online Mail Supplies/General Mailing Containers,base,Grey Mailbags,A single grey mail bag (PLEASE ORDER JUST ONE WEEKS SUPPLY MAXIMUM),A single grey mail bag (PLEASE ORDER JUST ONE WEEKS SUPPLY MAXIMUM),1,Taxable Goods,Catalog Search,0,Grey Mailbags,Royal Mail,0,ops,0,0,10,0,300,0,1
MISC1218,Legacy,simple,Default Category/Online Mail Supplies/Marketing General and Publishing,base,1 x OCR/CBC letter template,(MISC1218),(MISC1218),1,Taxable Goods,Catalog Search,0,1 x OCR/CBC letter template,Royal Mail,0,galaxy,0,0,1,0,10,0,1
MISC1311,Legacy,simple,Default Category/Online Mail Supplies/Marketing General and Publishing,base,1 x Large Letter J Tool Landscape,(MISC1311),(MISC1311),1,Taxable Goods,Catalog Search,0,1 x Large Letter J Tool Landscape,Royal Mail,0,galaxy,0,0,1,0,5,0,1
MISC1462,Legacy,simple,Default Category/Online Mail Supplies/Marketing General and Publishing,base,1 x Mailmark letter guide,(MISC1462),(MISC1462),1,Taxable Goods,Catalog Search,0,1 x Mailmark letter guide,Royal Mail,0,galaxy,0,0,1,0,10,0,1
MP GREEN,Legacy,simple,Default Category/Online Mail Supplies/Franking Default Category/Online Mail Supplies/Franking/Pouches,base,2nd Class C4 Franking Pouch,A single Second Class green franking pouch to handle mail upto C4 size (MP GREEN),A single Second Class green franking pouch to handle mail upto C4 size (MP GREEN),1,Taxable Goods,Catalog Search,0,2nd Class C4 Franking Pouch,Royal Mail,0,galaxy,0,0,1,0,25,0,1
